CEO Name,Founder (Y/N),Total Stock Return (TSR) During CEO's Tenure,Company Name,Ticker,Industry,Sector,CEO Compensation ($ millions),Equity Transactions,CEO Start Date,Start Date Stock Price,Stock Price
Daniel L. Florness,N,161%,Fastenal Co.,FAST,RETAIL: Building Materials,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/florness-daniel-l-415862,2016-01-01,$16.15 ,$42.17 
Ken Xie,Y,5974%,Fortinet Inc.,FTNT,Computer peripheral equipment,Technology, ,https://www.nasdaq.com/market-activity/insiders/xie-ken-815896,2009-11-18,$1.66 ,$100.83 
Peter J Arduini,N,20%,GE HealthCare Technologies Inc.,GEHC,Medical Electronics,Health Care, ,https://www.nasdaq.com/market-activity/insiders/arduini-peter-j-671044,2023-01-04,$60.35 ,$72.25 
Tim Breen,N,-10%,GLOBALFOUNDRIES Inc.,GFS,Semiconductors,Technology, ,https://www.nasdaq.com/market-activity/stocks/gfs/insider-activity,2025-02-05,$40.58 ,$36.72 
Daniel O’Day,N,108%,Gilead Sciences Inc.,GILD,Biotechnology: Biological Products (No Diagnostic Substances),Health Care, ,https://www.nasdaq.com/market-activity/insiders/oday-daniel-patrick-962921,2019-03-01,$52.75 ,$109.98 
Sundar Pichai,N,432%,Alphabet Inc.,GOOGL,"Computer Software: Programming, Data Processing",Technology, ,https://www.nasdaq.com/market-activity/insiders/pichai-sundar-869570,2015-10-02,$32.81 ,$174.67 
Vimal Kapur,N,18%,Honeywell International Inc.,HON,Aerospace,Industrials, ,https://www.nasdaq.com/market-activity/insiders/kapur-vimal-1055873,2023-06-01,$189.63 ,$224.29 
Jay Mazelsky,N,95%,IDEXX Laboratories Inc.,IDXX,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care, ,https://www.nasdaq.com/market-activity/insiders/mazelsky-jonathan-jay-887848,2019-10-23,$267.93 ,$522.70 
Lip-Bu Tan,N,-16%,Intel Corp.,INTC,Semiconductors,Technology, ,https://www.nasdaq.com/market-activity/insiders/tan-lip-bu-83397,2025-03-18,$23.93 ,$20.14 
Sasan Goodarzi,N,303%,Intuit Inc.,INTU,Computer Software: Prepackaged Software,Technology, ,https://www.nasdaq.com/market-activity/insiders/goodarzi-sasan-k-757130,2019-01-01,$187.11 ,$753.98 
Gary S Guthart,N,1419%,Intuitive Surgical Inc.,ISRG,Industrial Specialties,Health Care, ,https://www.nasdaq.com/market-activity/insiders/guthart-gary-s-623218,2010-01-01,$33.71 ,$512.18 
Tim Cofer,N,0%,Keurig Dr Pepper Inc.,KDP,Beverages (Production/Distribution),Consumer Staples, ,https://www.nasdaq.com/market-activity/insiders/cofer-timothy-p-862085,2023-09-20,$32.88 ,$33.02 
Carlos Abrams-Rivera,N,-25%,Kraft Heinz,KHC,Packaged Foods,Consumer Staples, ,https://www.nasdaq.com/market-activity/insiders/abrams-rivera-carlos-1081678,2023-12-01,$34.71 ,$26.08 
Richard P. Wallace,N,17717%,KLA Corp.,KLAC,Electronic Components,Technology, ,https://www.nasdaq.com/market-activity/insiders/wallace-richard-p-384888,2006-01-01,$4.87 ,$867.67 
Sanjiv Lamba,N,71%,Linde PLC,LIN,Major Chemicals,Industrials, ,https://www.nasdaq.com/market-activity/insiders/lamba-sanjiv-1068433,2022-03-01,$272.79 ,$465.98 
Timothy Archer,N,-35%,Lam Research Corp.,LRCX,Industrial Machinery/Components,Technology, ,https://www.nasdaq.com/market-activity/stocks/lrcx/insider-activity,2018-12-05,$138.61 ,$89.52 
Calvin McDonald,N,75%,Lululemon Athletica Inc.,LULU,Apparel,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/mcdonald-calvin-1062566,2018-08-20,$136.67 ,$239.11 
Anthony Capuano,N,121%,Marriott International Inc.,MAR,Hotels/Resorts,Consumer Discretionary, ,https://www.nasdaq.com/market-activity/insiders/capuano-anthony-803210,2021-02-21,$115.25 ,$254.99 
